sub_id,Site
sub-NDARLT314TWP,CBIC
sub-NDARLU939YX4,CBIC
sub-NDARMA390CHB,CBIC
sub-NDARMB216LA6,CBIC
sub-NDARMG675JB4,CBIC
sub-NDARMK825WAX,CBIC
sub-NDARML681XZJ,CBIC
sub-NDARMW551YA0,CBIC
sub-NDARMW863HW5,CBIC
sub-NDARMY873XG5,CBIC
sub-NDARNA055LLN,CBIC
sub-NDARNA421FL7,CBIC
sub-NDARNB427ARE,CBIC
sub-NDARNB905CFU,CBIC
sub-NDARNE800DCT,CBIC
sub-NDARNF873FCV,CBIC
sub-NDARNJ633HHX,CBIC
sub-NDARNL587LVL,CBIC
sub-NDARNN624AMU,CBIC
sub-NDARNZ084JVC,CBIC
sub-NDARNZ141GNH,CBIC
sub-NDARPF682GDC,CBIC
sub-NDARPH022TRY,CBIC
sub-NDARPT670LAY,CBIC
sub-NDARRC295CHW,CBIC
sub-NDARRK135YAZ,CBIC
sub-NDARRL315KV3,CBIC
sub-NDARRR595LRJ,CBIC
sub-NDARRU979UBW,CBIC
sub-NDARRW974PEF,CBIC
sub-NDARRX897XV1,CBIC
sub-NDARRZ993EL4,CBIC
sub-NDARTB661TVR,CBIC
sub-NDARTE553VC1,CBIC
sub-NDARTF781TM8,CBIC
sub-NDARTJ433TB5,CBIC
sub-NDARTJ862ENU,CBIC
sub-NDARTK667PGK,CBIC
sub-NDARUC356FCD,CBIC
sub-NDARUC980NZ5,CBIC
sub-NDARUD871XPD,CBIC
sub-NDARUJ182TDW,CBIC
sub-NDARUJ292JXV,CBIC
sub-NDARUK101YT3,CBIC
sub-NDARUL454XRE,CBIC
sub-NDARUT233WU9,CBIC
sub-NDARUT651WFC,CBIC
sub-NDARUW206XUG,CBIC
sub-NDARUX315PE6,CBIC
sub-NDARUX408KJ1,CBIC
sub-NDARUX885LMW,CBIC
sub-NDARVC140PKY,CBIC
sub-NDARVC195NLH,CBIC
sub-NDARVG761NR2,CBIC
sub-NDARVL190JA8,CBIC
sub-NDARVN280JTN,CBIC
sub-NDARVN715MJ9,CBIC
sub-NDARVT648BWF,CBIC
sub-NDARWE818UA6,CBIC
sub-NDARWK626PFY,CBIC
sub-NDARWN169DHY,CBIC
sub-NDARWP732GD1,CBIC
sub-NDARWR247CE1,CBIC
sub-NDARWU018VDB,CBIC
sub-NDARWV487HE0,CBIC
sub-NDARWV952EZT,CBIC
sub-NDARWW480TU2,CBIC
